Topic	Count	Name	Representation	Label
49	49	49_autovalutazione_annuale_piano_documento	['autovalutazione', 'annuale', 'piano', 'documento', 'monitorare', 'verifica', 'materia', 'monitoraggio', 'previste', 'familiari', 'politiche', 'compilando', 'interventi', 'realizzate', 'approvare', 'presolana', 'distanza', 'entro', 'impegna', 'strumenti', 'valutazione', 'azioni', 'agenzia', 'attuazione', 'anno', 'grado', 'approvazione', 'reclami', 'cassetta', 'gradimento']	Gestione e Valutazione Politiche Pubbliche
50	47	50_lingua_madrelingua_inglese_tedesco	['lingua', 'madrelingua', 'inglese', 'tedesco', 'lingue', 'insegnante', 'accostamento', 'araba', 'straniera', 'linguistiche', 'corsi', 'tedesca', 'rovetta', 'scuola', 'progetto', 'precisa', 'insegnanti', 'soprattutto', 'ampliare', 'conoscenze', 'finanziario', 'ruffrи', 'permettere', 'usufruire', 'dell', 'solo', 'italiano', 'espresso', 'infanzia', 'dialetto']	Formazione Linguistica Specializzata
51	46	51_natale_babbo_natalizio_eventi	['natale', 'babbo', 'natalizio', 'eventi', 'pasqua', 'carnevale', 'periodo', 'calliano', 'befana', 'mercatini', 'uovo', 'ritrovo', 'natalizi', 'laboratori', 'domenica', 'bambini', 'ludici', 'rivolti', 'turistico', 'nascono', 'sfilata', 'partecipati', 'donare', 'cori', 'tanti', 'feste', 'gospel', 'tombolata', 'collaborazione', 'mamma']	Eventi Festivi e Ricreativi
52	44	52_figlio_contributo_acquisto_spendibile	['figlio', 'contributo', 'acquisto', 'spendibile', 'nati', 'nuovi', 'nuclei', 'forfettario', 'farmacia', 'euro', 'ogni', 'prodotti', 'idrico', 'terzo', 'alimentazione', 'farmaci', 'esclusi', '100', 'esclusivo', 'erogato', 'pannolini', 'bambino', 'salviette', '00', 'familiari', 'nato', 'nucleo', 'creme', 'sigilla', 'biodegradabili']	Sostegno Famiglie con Neonati
53	40	53_meritevoli_borse_studio_studenti	['meritevoli', 'borse', 'studio', 'studenti', 'premi', 'visibilitа', 'annualmente', 'aumentare', 'regolamento', 'assegnano', 'intestate', 'proprio', 'laureati', 'aderenti', 'marchio', 'stradali', 'conseguimento', 'cartelli', 'lauree', 'carte', 'laurea', 'denaro', 'tesi', 'comunicazioni', 'comuni', 'assegna', 'sssg', 'utilizzare', 'esame', 'borsa']	Sostegno Economico Studenti
54	36	54_stage_madonna_campiglio_pinzolo	['stage', 'madonna', 'campiglio', 'pinzolo', 'studenti', 'formativi', 'secondaria', 'scuola', 'primaria', 'stages', 'cles', 'grado', 'disponibilitа', 'istituto', 'istruzione', 'curricolari', 'accogliere', 'tecnico', 'zobia', 'mata', 'tirocini', 'rocchetta', 'rinviata', 'istituti', 'orientamento', 'buonarrotti', 'russel', 'professionale', 'curricolare', 'tirocinio']	Formazione e Orientamento Scolastico
55	35	55_conciliazione_lavoro_tempi_dipendenti	['conciliazione', 'lavoro', 'tempi', 'dipendenti', 'vita', 'aziende', 'appalto', 'famiglia', 'gare', 'ferie', 'micronido', 'prestazione', 'aumento', 'telelavoro', 'punteggio', 'estivi', 'convegno', 'favorire', 'welfare', 'lavoratrice', 'caratterizzino', 'promuovono', 'propri', 'proposta', 'servizio', 'aggiunta', 'estensione', 'handicap', 'periodo', 'lavoratore']	Politiche di Welfare Lavorativo
56	32	56_medici_multiservizi_farmacia_farmacie	['medici', 'multiservizi', 'farmacia', 'farmacie', 'medico', 'ambulatorio', 'ambulatori', 'medicina', 'farmaci', 'domicilio', 'generale', 'servizio', 'sort', 'consegna', 'farmaco', 'dar', 'locali', 'cittadino', 'pronto', 'assegnati', 'spesa', 'impossibilitate', '2049', 'supermarket', 'providing', 'smr', 'servizi', 'erboristeria', 'ruotano', 'parafarmacia']	Servizi Sanitari e Farmaceutici
57	32	57_estivo_asilo_calendarizzazione_custodia	['estivo', 'asilo', 'calendarizzazione', 'custodia', 'efficace', 'agosto', 'supportare', 'luglio', 'tempi', 'periodo', 'turistico', 'conciliazione', 'figli', 'mesi', 'opta', 'decisione', 'afflusso', 'sinergia', 'cosм', 'materna', 'tenendo', 'educazione', 'comano', 'adottare', 'tale', 'obiettivo', 'capofila', 'lavoro', 'anni', 'nido']	Gestione Servizi Educativi Estivi
58	31	58_paganella_altropiano_andalo_giovani	['paganella', 'altropiano', 'andalo', 'giovani', 'piano', 'altopiano', 'incontra', 'altri', 'spazio', 'impegnandosi', 'sede', 'comuni', 'cooperativa', '35', 'promuovere', 'mantiene', 'collaborare', 'progetti', 'centro', 'svolgono', 'mini', 'aps', 'siede', 'finanziano', 'attivitа', 'giovanile', 'risalita', 'denominato', 'comunitа', 'presentazione']	Promozione Attività Giovanili Comunitarie
59	31	59_illumino_meno_energetico_risparmio	['illumino', 'meno', 'energetico', 'risparmio', 'campagna', 'illuminazione', 'caterpillar', 'ore', 'iniziativa', 'basso', 'luci', 'radio', 'programma', 'giornata', 'ambientale', 'sostenibilitа', '18', 'rai', 'spegnere', 'sensibilizzazione', '00', 'pubblica', 'adesione', 'spegnimento', 'lampade', 'impatto', 'indetta', 'ognuno', 'illuminanti', 'abbassare']	Efficienza Energetica Illuminazione
60	31	60_sci_ginnastica_palestra_coste	['sci', 'ginnastica', 'palestra', 'coste', 'bolbeno', 'amministrato', 'dolce', 'impianto', 'apprendimento', 'vantaggiose', 'motoria', 'sportiva', 'prospettive', 'veicolo', 'volano', 'importanti', 'alpino', 'scopo', 'club', 'ricadute', 'nordico', 'genzianella', 'positive', 'rabbi', 'sportivo', 'sport', 'gratuite', 'chiese', 'bim', 'incidenza']	Attività Sportive e Ricreative
61	30	61_laghi_valle_chiamo_comuni	['laghi', 'valle', 'chiamo', 'comuni', 'ludopatia', 'burundi', 'comprensivo', 'istituto', 'gemellaggio', 'comunitа', 'tema', 'attivo', 'educativa', 'frequentanti', 'dro', 'brentonico', 'alunni', '01', 'articolate', 'informative', 'muiynga', 'genitoriali', 'altri', 'dipendenze', 'progetti', '2001', 'ludico', 'mattutina', 'informativo', 'melograno']	Attività Educative e Sociali
62	29	62_bullismo_cyberbullismo_educazione_fenomeno	['bullismo', 'cyberbullismo', 'educazione', 'fenomeno', 'tema', 'magnifica', 'cyber', 'riguardano', 'contrasto', 'biennio', 'cimbri', 'collabora', 'promossi', 'altipiani', 'luserna', 'circondario', 'connesse', 'buone', 'informative', 'legalitа', 'progetti', 'lotta', 'prevenire', 'collaborerа', 'pratiche', 'ambientali', 'materia', 'sensibilizzazione', 'comportamenti', 'benessere']	Prevenzione e contrasto bullismo
63	28	63_straniere_integrazione_stranieri_italiana	['straniere', 'integrazione', 'stranieri', 'italiana', 'corsi', 'cittadinanza', 'italiano', 'favorire', 'lingua', 'inserirsi', 'trame', 'produttivo', 'ottiene', 'festa', 'eventuale', 'consolidare', 'logistico', 'vive', 'organizzata', 'lavis', 'immigrati', 'cultura', 'approfondire', 'informatica', 'doveri', 'permettono', 'organizzati', 'cittadini', 'capacitа', 'finanziamento']	Integrazione e Cittadinanza Attiva
64	28	64_internet_mlol_accesso_ebook	['internet', 'mlol', 'accesso', 'ebook', 'biblioteca', 'iscrizione', 'punto', 'prestito', 'utenti', 'medialibraryonline', 'book', 'audiolibri', 'digitali', 'library', 'online', 'on', 'line', 'digitale', 'media', 'quotidiani', 'aumento', 'servizio', 'bibcom', 'banche', 'attivazione', 'registrazioni', 'periferica', 'sede', 'download', 'periferiche']	Servizi Bibliotecari Digitali
65	28	65_card_family_pubblicizza_vantaggi	['card', 'family', 'pubblicizza', 'vantaggi', 'tramite', 'manifesti', 'cinematografici', 'agevolato', 'informa', 'mettendola', 'offerti', 'sms', 'inserisce', 'trentino', 'concretamente', 'tariffario', 'composizione', 'rilascio', 'informativa', 'ottenere', 'sito', 'funzioni', 'condizione', 'varie', 'sottoscrivere', 'economiche', 'promozionale', 'importanti', 'economia', 'supermercati']	Promozione Servizi Familiari
66	26	66_piscina_banale_lorenzo_nuoto	['piscina', 'banale', 'lorenzo', 'nuoto', 'convenzionati', 'malи', 'tariffe', 'convenzione', 'permette', 'limitrofi', 'economico', 'natatorie', 'comuni', 'dorsino', 'agevolazione', 'utilizzo', 'oneroso', 'gardolo', 'piscine', 'natatorio', 'san', 'considerata', 'pure', 'incentivi', 'entrata', 'sostegno', 'sita', 'agevolato', 'agevolate', 'disabili']	Servizi Natatori Agevolati
67	25	67_gratis_pannolini_lombardia_nidi	['gratis', 'pannolini', 'lombardia', 'nidi', 'regione', 'misura', 'lavabili', 'adesione', 'kit', 'fornitura', 'gratuita', 'pellet', 'nuovi', 'nati', 'bellini', 'allattamento', 'negritella', 'regalo', 'riscaldamento', 'cambio', 'accedere', 'invernali', 'sede', 'offre', 'descrizione', 'titolo', 'acquisto', 'buono', '2011', 'spazio']	Sostegno Famiglie e Neonati
68	25	68_festival_gioco_alpe_orme	['festival', 'gioco', 'alpe', 'orme', 'edizione', 'cimbra', 'future', 'altipiani', 'luserna', 'mountain', 'montagna', 'pony', 'dedicato', 'rilettura', 'indistintamente', 'fregia', 'prestavano', 'moderna', 'trasferire', 'animazioni', 'open', 'folgaria', 'chiave', 'giri', 'personaggi', 'brio', 'letture', 'deriva', 'evento', 'event']	Eventi Culturali Montani
69	24	69_telegram_sms_canale_riguardano	['telegram', 'sms', 'canale', 'riguardano', 'comunicazioni', 'attivato', 'eventi', 'veloce', 'disservizi', 'informa', 'informare', 'merito', 'cittadini', 'utilizza', 'servizio', 'comano', 'informerа', 'utilitа', 'messaggistica', 'newsletter', 'facile', 'euregiofamilypass', 'terme', 'notiziario', 'popolazione', 'informazioni', 'richiesta', 'iniziative', 'account', 'cosmos']	Comunicazione e Informazione ai Cittadini
70	24	70_ecomuseo_turistico_borlezza_laboratori	['ecomuseo', 'turistico', 'borlezza', 'laboratori', 'viaggiatori', 'percorsi', 'desideri', 'culturali', 'legati', 'espressi', 'apprezzata', 'introdotta', 'specifici', 'numerose', 'telve', 'tessera', 'lagorai', 'permesso', 'vanoi', 'tesino', 'terra', 'coinvolgono', 'attivitа', 'attivazione', 'viaggi', 'organizza', 'famiglie', 'agevolato', 'val', 'formative']	Promozione Turistica Culturale
71	22	71_videosorveglianza_telecamere_video_sistema	['videosorveglianza', 'telecamere', 'video', 'sistema', 'varchi', 'installazione', 'deterrente', 'demandate', 'trasgressori', 'perseguite', 'illeciti', 'opportuni', 'manifesta', 'considerare', 'rispondenti', 'ordinamento', 'sicura', 'vigente', 'circuito', 'sentirsi', 'sorveglianza', 'regolamenti', 'appartenenti', 'valido', 'provvedimenti', 'centrale', 'rete', 'esigenza', 'introduzione', 'integrato']	Sicurezza e Sorveglianza Urbana
72	21	72_intergenerazionale_scambio_generazioni_pensionati	['intergenerazionale', 'scambio', 'generazioni', 'pensionati', 'anziani', 'laboratori', 'tradizioni', 'intergenerazionali', 'serali', 'sanno', 'daranno', 'insegnando', 'avvicinano', 'usanze', 'interazione', 'giovani', 'competenze', 'impiegare', 'concerti', 'canto', 'cosм', 'progetti', 'manuali', 'festivitа', 'residenza', 'azienda', 'nonni', 'ecc', 'realizzate', 'nuove']	Attività Intergenerazionali Comunitarie
73	21	73_conferimento_raccolta_rifiuti_conferire	['conferimento', 'raccolta', 'rifiuti', 'conferire', 'parentela', 'autonomamente', 'sola', 'nessun', 'persona', 'anziana', 'assistenza', 'vincolo', 'accedere', 'differenziata', 'senza', 'puт', 'grado', 'centro', 'abitazioni', 'tali', 'spesa', 'ritira', 'crm', 'casa', 'servizio', 'trasporto', 'prestabilite', 'differenziare', 'occupa', 'vicolo']	Gestione Rifiuti e Assistenza Domiciliare
74	21	74_bonus_bebи_nascita_buono	['bonus', 'bebи', 'nascita', 'buono', 'figlio', 'nascituro', 'utilizzabile', 'supporti', 'cartellina', '00', 'bebe', 'ricevano', 'spendere', 'acquisto', 'concedendo', 'contenente', 'farmacie', 'necessari', 'neogenitori', '200', 'registrazione', 'decreto', 'stabilito', 'contributo', 'passaporto', 'documenti', 'gioia', 'euro', 'atto', 'terzo']	Sostegno Neogenitori e Nascita
75	20	75_imis_comodato_parenti_residenza	['imis', 'comodato', 'parenti', 'residenza', 'estende', 'obbligatoria', 'gratuito', 'casa', 'gratuitа', 'uso', 'legge', 'prima', 'aliquota', 'abitazione', 'utilizzano', 'grado', 'primo', 'apsp', 'aliquote', 'agevolazione', 'nonchй', 'provinciale', 'anziani', 'prevista', 'tariffa', 'concessa', 'applicazione', 'agevolata', 'fiscali', 'oltre']	Agevolazioni fiscali abitazione
76	19	76_levico_terme_da_ripropone	['levico', 'terme', 'da', 'ripropone', 'pomeriggi', 'hausham', 'riproposizione', 'accompagnamento', 'sorveglianza', 'pedibus', 'pensionati', 'elementari', 'funzioni', 'appm', 'gestito', 'servizio', 'amicizia', 'afflussi', 'asseconda', 'regolazione', 'organizzato', 'associazione', 'volontari', 'vigilanza', 'espresso', 'soggiornano', 'scuola', 'insieme', 'scolastico', 'davanti']	Servizi di Accompagnamento Scolastico
77	19	77_whatsapp_facebook_tasca_notizie	['whatsapp', 'facebook', 'tasca', 'notizie', 'segnalare', 'informazioni', 'reale', 'ottenerla', 'guasti', 'rapidi', 'direzioni', 'censiti', 'chiedere', 'ricevendo', 'amministrativa', 'valdaone', 'strade', 'telegram', 'interagendo', 'interessano', 'sindaco', 'segnalazione', 'collaboratori', 'pagina', 'acquedotto', 'direttamente', 'servizio', 'utili', 'fianco', 'interesse']	Gestione Comunicazione e Segnalazioni
78	18	78_asilo_nido_tariffe_riduzione	['asilo', 'nido', 'tariffe', 'riduzione', 'icef', 'frequenza', 'agevolazioni', 'commisurate', 'spettanti', 'secondo', 'giornaliera', 'successivi', 'calcolo', 'tariffarie', 'costi', 'quota', 'figlio', 'fissa', 'revisione', 'rette', 'partire', '40', 'monitoraggio', 'analisi', 'variabile', 'applica', '50', 'relativamente', 'frequentanti', 'relativa']	Gestione Tariffe Asili Nido
79	18	79_resta_passo_emergenza_casa	['resta', 'passo', 'emergenza', 'casa', 'covid', '19', 'spese', 'epidemiologica', 'domicilio', 'situazione', 'fragile', 'cdv', 'consegna', 'spesa', 'abitativa', 'primarie', 'colpite', 'sette', 'dipartimento', 'persone', 'abitativo', 'abitazione', 'agenzia', 'dovuta', 'attivazione', 'svolga', 'multidimensionale', 'malati', 'olistico', 'costrette']	Assistenza Abitativa Emergenza COVID
80	17	80_cre_estivi_parrocchie_importanti	['cre', 'estivi', 'parrocchie', 'importanti', 'impegnate', 'logistico', 'fondamentali', 'organizzativo', 'ritiene', 'offerti', 'finanziario', 'aggregazione', 'sostegno', 'strumenti', 'organizzazione', 'gestione', 'riserve', 'fondamentale', 'sociale', 'servizi', 'curiosi', 'conciliazione', 'famiglie', 'territorio', 'momenti', 'supporto', 'rete', 'realizzazione', 'periodicamente', 'lavoro']	Supporto Organizzativo e Sociale
81	17	81_ucraina_profughi_ucraini_alloggi	['ucraina', 'profughi', 'ucraini', 'alloggi', 'emergenza', 'caso', 'guerra', 'disposizione', 'mette', 'pompieri', 'cinformi', 'arrivi', 'provenienti', 'occasionale', 'calamitа', 'usufruibile', 'magazzino', 'locazione', 'temporaneo', 'accoglienza', 'individuata', 'temporaneamente', 'umanitari', 'intermediario', 'varato', 'emergenze', 'previo', 'pubblici', 'temporanea', 'bersntol']	Gestione emergenza profughi
82	17	82_integrati_concorrere_globale_biblioteche	['integrati', 'concorrere', 'globale', 'biblioteche', 'progetti', 'persona', 'scuole', 'ordine', 'diffusione', 'modo', 'formazione', 'promozione', 'conoscenza', 'sostegno', 'familiari', 'grado', 'associazioni', 'ogni', 'obbligo', 'territorio', 'spin', 'off', 'uni', 'descrizione', 'titolo', 'dell', 'scuola', 'agenzie', 'povertа', 'parrocchia']	Promozione Educativa e Sociale
83	17	83_tagesmutter_mantenimento_sorriso_servizio	['tagesmutter', 'mantenimento', 'sorriso', 'servizio', 'riattivato', 'rimane', 'confermata', 'regolamento', 'cooperativa', 'essere', 'coooperattva', 'richiesta', 'piccolo', 'adesione', 'oliveti', 'anghebeni', 'consolidato', 'descrizione', 'lasino', 'canonica', 'titolo', 'viste', 'attivo', 'parecchi', 'complementare', 'attraverso', 'contributo', '06', 'inserire', 'ponte']	Servizi di Assistenza e Cooperazione
84	15	84_gas_elettrica_bonus_energia	['gas', 'elettrica', 'bonus', 'energia', 'naturale', 'fornitura', 'clienti', 'domestici', 'tariffa', 'disagiati', 'trentini', 'stipulata', 'consorzio', 'caf', 'richieste', 'sociale', 'convenzione', 'debbano', 'aderisce', 'disagio', 'disagiate', '124', 'sgate', 'convertito', 'gestione', 'utenti', 'economiche', 'automaticamente', 'adesione', '157']	Sostegno Fornitura Energetica Domestica
85	15	85_pagina_dedicata_spiegare_intraprese	['pagina', 'dedicata', 'spiegare', 'intraprese', 'web', 'allestita', 'presolana', 'finalitа', 'family', 'sito', 'verranno', 'azioni', 'verrа', 'tempo', 'ufficiale', 'inserita', 'tutte', 'unione', 'progetto', 'aderenti', 'comuni', 'progetti', 'rivalta', 'comunicazione', 'torino', 'informazione', 'to', 'descrizione', 'titolo', 'pagine']	Comunicazione e Informazione Istituzionale
86	15	86_tennis_calcetto_campi_comprendente	['tennis', 'calcetto', 'campi', 'comprendente', 'campo', 'agevolate', 'pallavolo', 'usufruiscono', '14', 'gratuitа', '05', 'bocce', 'polifunzionale', '2012', 'tariffe', '25', 'delibera', 'utilizzo', 'previste', 'sportivo', 'agevolata', 'under', 'erboso', 'consiglio', 'tariffarie', 'manto', 'ristrutturati', 'sportivi', 'sintetico', 'circolo']	Strutture Sportive Comunali
87	15	87_yoga_ginnastica_pratiche_karate	['yoga', 'ginnastica', 'pratiche', 'karate', 'buone', 'corpo', 'gioca', 'tai', 'esercizi', 'chi', 'pratici', 'stretching', 'stress', 'assertivitа', 'pelvica', 'corso', 'conflitto', 'anima', 'posturale', 'pilates', 'burnout', 'movimento', 'mente', 'respirazione', 'quotidiano', 'bambini', 'coppie', 'emozioni', 'benessere', 'psicomotricitа']	Attività per il Benessere Fisico e Mentale
88	15	88_caritas_situazioni_decanale_bisognose	['caritas', 'situazioni', 'decanale', 'bisognose', 'assistendo', 'sportello', 'indirizzare', 'bisogno', 'marginalitа', 'adeguatamente', 'villa', 'punto', 'prime', 'mirano', 'straniere', 'gestisce', 'lagarina', 'povertа', 'raccogliere', 'segnalazione', 'ton', 'ascolto', 'canoniche', 'individuando', 'particolari', 'riguarda', 'soluzione', 'accoglienza', 'problematiche', 'persone']	Assistenza e Accoglienza Sociale
89	14	89_fiemme_acquacenter_sgs_iscrizione	['fiemme', 'acquacenter', 'sgs', 'iscrizione', 'molina', 'componente', 'stadio', 'concedono', 'riduzioni', 'concede', 'ghiaccio', 'ingressi', 'castello', 'tariffa', 'stessa', 'calciatori', 'dilettanti', 'poi', 'applica', 'raggruppa', 'casse', 'riduzione', 'pescatori', 'agevolata', 'atleti', 'malй', 'tariffe', 'praticano', 'polisportiva', 'malи']	Gestione Impianti Sportivi e Tariffe
90	14	90_stagisti_tirocinanti_studenti_accoglienza	['stagisti', 'tirocinanti', 'studenti', 'accoglienza', 'superiori', 'rende', 'accogliere', 'vari', 'disponibile', 'comunali', 'scuole', 'servizi', 'stage', 'collaborazione', 'amministrazione', 'enna', 'alternanza', 'accolti', 'universitа', 'catania', 'tirocinio', 'descrizione', 'titolo', 'professionali', 'tirocini', 'studi', 'provenienti', 'proseguirа', 'lavoro', 'istituti']	Accordi di tirocinio e stage
91	13	91_covid_prenotazione_vaccino_vaccinazione	['covid', 'prenotazione', 'vaccino', 'vaccinazione', 'vaccinale', 'vaccini', 'anti', '19', 'sportello', 'clusone', 'massivo', 'anticovid', 'palazzetto', 'appuntamento', 'ematici', 'disposizione', 'prenotare', 'messo', 'pandemica', 'aiuto', 'panchiа', 'crisi', 'prelievi', 'popolazione', 'salerno', 'prenota', '0000', 'amministrare', 'covi19', 'delicatissima']	Gestione Vaccinazioni Anticovid
92	13	92_implementazione_social_quant_gruppi	['implementazione', 'social', 'quant', 'gruppi', 'reale', 'watshapp', 'istagram', 'cosmos', 'possa', 'disservizi', 'facebook', 'bonus', 'informative', 'informare', 'informerа', 'altro', 'sms', 'interesse', 'serate', 'riguardano', 'scopo', 'merito', 'tempo', 'contributi', 'iniziative', 'famiglie', 'essere', 'attivato', 'richiesta', 'territorio']	Comunicazione e Coinvolgimento Comunitario
93	13	93_alleggerire_stabilire_visite_minori	['alleggerire', 'stabilire', 'visite', 'minori', 'benne', 'tariffe', 'belvedere', 'torre', 'levico', 'turistico', 'costi', 'forte', 'carico', 'terme', 'trenino', 'scopo', 'tariffarie', 'guidate', 'famiglie', 'trasporto', 'agevolate', 'prevede', 'figli', 'accesso', 'agevolazioni', 'roma', 'tariffaria', 'utilizzano', 'vetriolo', 'viale']	Agevolazioni Trasporto Turistico
94	13	94_regolamenti_camini_regolamento_fumarie	['regolamenti', 'camini', 'regolamento', 'fumarie', 'canne', 'combustione', 'approvazione', 'evacuazione', 'incombusto', 'fumaria', 'evitato', 'fuliggine', 'solido', 'incendi', 'depositi', 'canna', 'perfetta', 'onde', 'combustibile', 'incendio', 'uniforme', 'periodica', 'pulizia', 'causati', 'deposito', 'emas', 'dimostra', 'interna', 'superficie', 'alimentati']	Gestione Sicurezza Camini
95	11	95_aziende_attivano_aziendali_sitter	['aziende', 'attivano', 'aziendali', 'sitter', 'flessibili', 'crescere', 'iniziato', 'processo', 'sensibilizzazione', 'dipendenti', 'es', 'finalizzato', 'baby', 'minori', 'orari', 'numero', 'proseguire', 'far', 'ecc', '2018', 'premio', 'impegnano', 'definire', 'favore', 'interno', 'giа', 'riconoscimento', 'figli', 'welfare', 'servizi']	Servizi di Welfare Aziendale
96	11	96_serata_marchio_informativa_ricadute	['serata', 'marchio', 'informativa', 'ricadute', 'significato', 'presentare', 'relativa', 'family', 'utenti', 'trentino', 'organizzare', 'popolazione', 'cittadini', 'coinvolti', 'intenzione', 'enti', 'intende', 'friendly', 'altri', 'altrimenti', 'telematica', 'marchi', 'amministrazione', 'link', 'collaborazione', 'portale', 'comune', 'descrizione', 'titolo', 'potrа']	Organizzazione Eventi Comunitari
97	11	97_ta_ri_utilizzate_fini	['ta', 'ri', 'utilizzate', 'fini', 'comma', 'consiglio', 'aree', 'tassa', 'istituzionali', 'locali', 'art', 'pubbliche', 'ipotesi', 'costituite', 'perseguono', 'disciplina', '100', 'rilievo', 'riduzioni', 'regolamento', 'pagamento', 'esclusivamente', 'rifiuti', 'risulti', 'misura', 'sostituisca', 'utilizzati', 'salve', 'approvato', 'volta']	Gestione Rifiuti e Tasse Locali
98	11	98_compiti_limiti_attivati_realtа	['compiti', 'limiti', 'attivati', 'realtа', 'attualmente', 'continuitа', 'disponibili', 'potranno', 'spigolo', 'stondato', 'risorse', 'data', 'progetti', 'spazio', 'racchiude', 'virtuale', 'verrа', 'presenti', 'essere', 'locali', 'strutture', 'spazi', 'incarichi', 'fasciatoi', 'comuni', 'co', 'disposizione', 'direttamente', 'progettazioni', 'territorio']	Gestione Risorse e Spazi Locali
